# layer,row,col,filter,float_value,q1.6_int,q1.6_hex
layer_0_filter_0,18,12,0,0.154182,10,0x0A
layer_0_filter_0,18,13,0,0.158836,10,0x0A
layer_0_filter_0,18,14,0,0.163490,10,0x0A
layer_0_filter_0,18,15,0,0.168144,11,0x0B
layer_0_filter_0,18,16,0,0.172798,11,0x0B
layer_0_filter_0,18,17,0,0.177452,11,0x0B
layer_0_filter_0,18,18,0,0.182105,12,0x0C
layer_0_filter_0,18,19,0,0.186759,12,0x0C
layer_0_filter_0,18,20,0,0.191413,12,0x0C
layer_0_filter_0,18,21,0,0.196067,13,0x0D
layer_0_filter_0,18,22,0,0.200721,13,0x0D
layer_0_filter_0,18,23,0,0.205375,13,0x0D
layer_0_filter_0,18,24,0,0.210029,13,0x0D
layer_0_filter_0,18,25,0,0.214683,14,0x0E
layer_0_filter_0,19,0,0,0.102989,7,0x07
layer_0_filter_0,19,1,0,0.107643,7,0x07
layer_0_filter_0,19,2,0,0.112297,7,0x07
layer_0_filter_0,19,3,0,0.116951,7,0x07
layer_0_filter_0,19,4,0,0.121605,8,0x08
layer_0_filter_0,19,5,0,0.126259,8,0x08
layer_0_filter_0,19,6,0,0.130912,8,0x08
layer_0_filter_0,19,7,0,0.135566,9,0x09
layer_0_filter_0,19,8,0,0.140220,9,0x09
layer_0_filter_0,19,9,0,0.144874,9,0x09
layer_0_filter_0,19,10,0,0.149528,10,0x0A
layer_0_filter_0,19,11,0,0.154182,10,0x0A
